#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,979181.1,10.490757837276869
1,-0.0007777777777777778,979167.3300000001,16.44311710108344
2,-0.0005555555555555556,979166.4099999999,7.099640835964885
3,-0.00033333333333333327,979171.6299999999,19.175507815959705
4,-0.00011111111111111109,979141.5900000001,12.976166614237046
5,0.00011111111111111109,979117.0599999999,20.403342863377652
6,0.0003333333333333335,979122.0900000001,17.427131146588337
7,0.0005555555555555557,979136.78,13.979756793293678
8,0.0007777777777777778,979130.5700000001,12.41330334761053
9,0.001,979102.65,22.68392602703298
