#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,986.4983500000001,0.0025104780421333897
1,-0.0007777777777777778,986.4892,0.0015257784898171098
2,-0.0005555555555555556,986.4917199999998,0.0007586830695276958
3,-0.00033333333333333327,986.48687,0.0023047993405100227
4,-0.00011111111111111109,986.4871899999998,0.0016949631264481881
5,0.00011111111111111109,986.4842699999999,0.002682554752480414
6,0.0003333333333333335,986.4771800000001,0.0010533755265802322
7,0.0005555555555555557,986.4813100000001,0.0021417049283167264
8,0.0007777777777777778,986.4856400000001,0.0007337574531158128
9,0.001,986.4932799999999,0.0015249918032802978
