#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,4637.928399999999,0.006770524351973758
1,-0.0007777777777777778,4637.9811,0.006122907805841255
2,-0.0005555555555555556,4637.9663,0.014436412296697662
3,-0.00033333333333333327,4637.881200000001,0.01549064233670426
4,-0.00011111111111111109,4637.816199999999,0.0074806416837297305
5,0.00011111111111111109,4637.8583,0.003848376281037249
6,0.0003333333333333335,4637.83,0.01469013274282123
7,0.0005555555555555557,4637.8031,0.0033600595232901273
8,0.0007777777777777778,4637.7546,0.010403845442867009
9,0.001,4637.745499999999,0.007839005038977736
