#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,980460.0200000001,32.223308334183926
1,-0.0007777777777777778,980466.32,13.859350634131454
2,-0.0005555555555555556,980470.3300000001,4.761522865643371
3,-0.00033333333333333327,980481.5799999998,6.7135385602405835
4,-0.00011111111111111109,980486.03,11.262774968902185
5,0.00011111111111111109,980485.9000000001,6.278375586093095
6,0.0003333333333333335,980489.2200000001,9.052712300733269
7,0.0005555555555555557,980482.21,13.929928212310722
8,0.0007777777777777778,980477.4199999999,5.905895359708864
9,0.001,980461.78,5.638226671567493
