#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,216.76147999999998,0.0005758472019536091
1,-0.0007777777777777778,216.76201999999998,0.0003026549190184782
2,-0.0005555555555555556,216.76214999999996,0.00028017851452362364
3,-0.00033333333333333327,216.76216,0.0003746998799066336
4,-0.00011111111111111109,216.76219,0.0004678675026172739
5,0.00011111111111111109,216.76195,0.0003074085229848323
6,0.0003333333333333335,216.76187,0.0003163858403940845
7,0.0005555555555555557,216.76154000000002,0.00041521078983652014
8,0.0007777777777777778,216.76123,0.00048795491595105537
9,0.001,216.76115,0.0004842520005097176
