#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,4640.3925,0.006070420084460958
1,-0.0007777777777777778,4640.392900000001,0.007449161026578122
2,-0.0005555555555555556,4640.4077,0.00818596359634315
3,-0.00033333333333333327,4640.4102,0.007249827584035488
4,-0.00011111111111111109,4640.4238000000005,0.009947864092198272
5,0.00011111111111111109,4640.4427000000005,0.0066037867922659034
6,0.0003333333333333335,4640.4516,0.00465188133981536
7,0.0005555555555555557,4640.452500000001,0.00502493781061583
8,0.0007777777777777778,4640.4486,0.005238320341498547
9,0.001,4640.424300000001,0.007975587752550485
