#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,552.78639,0.0005734980383549678
1,-0.0007777777777777778,552.78619,0.0004548626166193082
2,-0.0005555555555555556,552.78515,0.0004201190307601962
3,-0.00033333333333333327,552.7863799999999,0.0006289674077389412
4,-0.00011111111111111109,552.7872600000001,0.0005713142742789127
5,0.00011111111111111109,552.7874199999999,0.00038935844667608584
6,0.0003333333333333335,552.7872199999999,0.0004069397989909678
7,0.0005555555555555557,552.78615,0.0003383784863279454
8,0.0007777777777777778,552.78582,0.0003815756805627606
9,0.001,552.78639,0.0005337602457998802
