#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,217.07501000000002,0.0007354590403304561
1,-0.0007777777777777778,217.08076999999997,0.0012050311199264963
2,-0.0005555555555555556,217.08238999999998,0.0005300000000024716
3,-0.00033333333333333327,217.08211,0.0005300000000019354
4,-0.00011111111111111109,217.08128000000002,0.0003544009029339244
5,0.00011111111111111109,217.07959999999997,0.0004171330722931858
6,0.0003333333333333335,217.07563,0.0005292447448968374
7,0.0005555555555555557,217.07252,0.000850646812729852
8,0.0007777777777777778,217.07984000000002,0.0012338557452164524
9,0.001,217.08752999999996,0.0011764777940948211
