#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,4637.5614000000005,0.0066513156592976075
1,-0.0007777777777777778,4637.6305,0.01333604139166686
2,-0.0005555555555555556,4637.7211,0.009934284070710606
3,-0.00033333333333333327,4637.7096,0.01077218640739296
4,-0.00011111111111111109,4637.6752,0.012237646832719764
5,0.00011111111111111109,4637.7031,0.0051855568650651844
6,0.0003333333333333335,4637.821199999999,0.015334927453370556
7,0.0005555555555555557,4637.9035,0.009531526635444267
8,0.0007777777777777778,4637.9296,0.007391887444988619
9,0.001,4637.9032,0.01180508365054308
