#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,552.4229300000001,0.000638827050145405
1,-0.0007777777777777778,552.41954,0.0008272847152020961
2,-0.0005555555555555556,552.4217100000001,0.0015965274817697113
3,-0.00033333333333333327,552.4337499999999,0.0005625833271576026
4,-0.00011111111111111109,552.4345699999999,0.0004405678154398723
5,0.00011111111111111109,552.43684,0.0006248199740910908
6,0.0003333333333333335,552.43109,0.0020593445559076774
7,0.0005555555555555557,552.4212,0.0013446189051260092
8,0.0007777777777777778,552.4246,0.0007771743691158007
9,0.001,552.43147,0.0004754997371406911
