#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,10357252.0,522.203025651901
1,-0.0007777777777777778,10356056.0,509.12081081016515
2,-0.0005555555555555556,10354857.0,515.6946771104002
3,-0.00033333333333333327,10354569.0,645.9791018291536
4,-0.00011111111111111109,10355357.0,609.311906990172
5,0.00011111111111111109,10355461.0,595.5913028243444
6,0.0003333333333333335,10356353.0,798.8122432712207
7,0.0005555555555555557,10356843.0,541.0739321017046
8,0.0007777777777777778,10356233.0,550.3099126855703
9,0.001,10357025.0,715.2517039476382
