#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,986.4293099999999,0.0008227393268991506
1,-0.0007777777777777778,986.45129,0.0005393514624047209
2,-0.0005555555555555556,986.4587300000001,0.0007668767828006947
3,-0.00033333333333333327,986.4799300000001,0.002136843466431221
4,-0.00011111111111111109,986.50132,0.0015131424255409448
5,0.00011111111111111109,986.52028,0.002057085316662139
6,0.0003333333333333335,986.5107300000002,0.0017059015211891822
7,0.0005555555555555557,986.50226,0.0019215618647229452
8,0.0007777777777777778,986.50226,0.0017217433025903395
9,0.001,986.5054100000001,0.0012786320815525768
