#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,552.45658,0.0005775811631158202
1,-0.0007777777777777778,552.45727,0.0004733920151226177
2,-0.0005555555555555556,552.4649900000001,0.0007286288492895415
3,-0.00033333333333333327,552.46252,0.0018416297130569989
4,-0.00011111111111111109,552.4451,0.002296519105080309
5,0.00011111111111111109,552.4287700000001,0.001256224502242698
6,0.0003333333333333335,552.42583,0.0014007497992324406
7,0.0005555555555555557,552.4209500000001,0.0009697937925350013
8,0.0007777777777777778,552.42033,0.0006797793759887906
9,0.001,552.4207199999998,0.0014041367454823634
