#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,9858.8204,0.03307325203256285
1,-0.0007777777777777778,9858.8112,0.010600000000093406
2,-0.0005555555555555556,9858.8061,0.008514105942631946
3,-0.00033333333333333327,9858.7835,0.01563489686585505
4,-0.00011111111111111109,9858.7359,0.0216953912156868
5,0.00011111111111111109,9858.6767,0.016529065309289614
6,0.0003333333333333335,9858.639299999999,0.012231516668261255
7,0.0005555555555555557,9858.681999999999,0.013784048752113975
8,0.0007777777777777778,9858.7167,0.009664884893439068
9,0.001,9858.7081,0.01203702621102651
