#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,980464.0200000001,35.07197741788295
1,-0.0007777777777777778,980464.3099999999,10.853243754737374
2,-0.0005555555555555556,980460.3600000001,4.214783505704238
3,-0.00033333333333333327,980450.55,5.407818414111851
4,-0.00011111111111111109,980441.6600000001,5.942423747930011
5,0.00011111111111111109,980436.5700000001,9.090440033375117
6,0.0003333333333333335,980423.15,10.235062286071946
7,0.0005555555555555557,980429.9899999999,5.157799918560976
8,0.0007777777777777778,980438.96,14.229912157125515
9,0.001,980432.4700000001,3.9138344369688425
