#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,216.76402000000002,0.000468614980552367
1,-0.0007777777777777778,216.76414,0.0003929376540847567
2,-0.0005555555555555556,216.76396999999997,0.00046054315758546567
3,-0.00033333333333333327,216.7641,0.0005621387729031729
4,-0.00011111111111111109,216.76342,0.0004833218389477137
5,0.00011111111111111109,216.76301999999995,0.0003969886648290261
6,0.0003333333333333335,216.76252999999997,0.00027221315177471074
7,0.0005555555555555557,216.76246999999998,0.0004980963762203584
8,0.0007777777777777778,216.76191,0.0004570557952811816
9,0.001,216.7614,0.00030659419433602556
