#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,4640.528,0.0060663003553826506
1,-0.0007777777777777778,4640.535699999999,0.0045836666545416216
2,-0.0005555555555555556,4640.5601,0.00857263086809007
3,-0.00033333333333333327,4640.562100000001,0.005682429058038611
4,-0.00011111111111111109,4640.5470000000005,0.008899438184478086
5,0.00011111111111111109,4640.540800000001,0.006128621378455436
6,0.0003333333333333335,4640.541899999999,0.004635730794653414
7,0.0005555555555555557,4640.5304,0.009810198774746223
8,0.0007777777777777778,4640.5247,0.005404627646781149
9,0.001,4640.527800000001,0.005399999999934624
