#Procedure: <__main__.LivePlottingPocedure>
#Parameters:
#	Current Max: 0.001 A
#	Current Min: -0.001 A
#	Data Points: 10
#	Delay Time: 0.1 s
#	Loop Iterations: 10
#Data:
Iteration,Current (A),Resistance (ohm),Resistance Stdev
0,-0.001,552.79296,0.0005678027826607611
1,-0.0007777777777777778,552.7911799999999,0.0006838128398917387
2,-0.0005555555555555556,552.79002,0.0004707440918189262
3,-0.00033333333333333327,552.79029,0.000672978454323486
4,-0.00011111111111111109,552.79047,0.00039255572851383606
5,0.00011111111111111109,552.79089,0.0006425729530624114
6,0.0003333333333333335,552.7899,0.00046690470121143226
7,0.0005555555555555557,552.7885899999999,0.000518555686495995
8,0.0007777777777777778,552.7866799999999,0.0005400000000046626
9,0.001,552.7856100000001,0.0005593746508222542
